id,instruction,input,output,source,topic
555,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"I don't know, like, maybe- maybe actually talking to my friends and saying like- or maybe them actually being able to see this kid and go, ""Of course, of course, your- your choice makes sense. You--"" Maybe it would, you know, give them a wake-up call too if They actually, like, see it.","This part of you that says, ""I don't have an option to-to-to make this life better,"" it's wondering, ""Do I have the confidence to be able to make that life a reality?"" What do you think you need to increase your confidence that you can do this?",AnnoMI-derived authentic counseling turn,substance-use counseling
556,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah. Yeah, well, the only reason I'm here is 'cause my wife thinks I've got a problem with smoking. I've been smoking all my life and, uh, six months ago, uh, she thought, she got into this health kick, right? And now everyone who smokes is evil. And, uh, so that's why I'm here just to please her, get her off my back and—","So, what brings you here, Bob? What's, what can I do to help?",AnnoMI-derived authentic counseling turn,substance-use counseling
557,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,So I'm already at the week limit. And then I have four beers a night. Are you sure?,"Mm-hmm. Well, in this country, the guidelines are men can drink up to 14 drinks a week or up to four on one occasion and still be low risk.",AnnoMI-derived authentic counseling turn,substance-use counseling
558,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,-if you quit smoking.,Mm-hmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
559,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Mm-hmm. Yeah.,So it sounds like you have two goals right now. You want to tell your housemate about where you keep the Narcan in case you overdose and you want some information on how to inject safely?,AnnoMI-derived authentic counseling turn,substance-use counseling
560,Provide a non-judgmental counseling response to a person struggling with drug use.,I am worried that I will never be able to stay in recovery.,"It sounds like you are worried about your ability to maintain recovery. What is one time when you managed a difficult situation without using, and what helped you then? If you are comfortable, we can explore what matters most to you and identify a practical next step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - confidence
561,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, I'd like to make sure that I'd, you know, in terms of respecting myself and my body, I'd like to, you know, try to drink less.","-to-to make it a little smoother. Okay. So, kind of thinking along those lines, how important is it to you make some changes or make some adjustments to your drinking to sort of fit with your values and your goals for yourself?",AnnoMI-derived authentic counseling turn,substance-use counseling
562,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,-if you know what I mean.,Okay.,AnnoMI-derived authentic counseling turn,substance-use counseling
563,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"In other words, think about it more, don't- don't just do it automatically.","Okay. So Jean, I really want to congratulate you on taking this very important first step towards addressing this problem that you've had for such a long time, but as the first small step, I wonder whether you'd be open to actually just monitoring your smoking for the next week. And the reason why I say that- because as you were mentioning to me, smoking is so automatic for you that sometimes writing it down helps make every cigarette a conscious act. And I noticed that you were saying to me, you feel a loss of control over these cigarettes. And sometimes just being mindful and writing something down will help you get some control over what you're doing. And that's often the first small step. What are your thoughts about that?",AnnoMI-derived authentic counseling turn,substance-use counseling
564,Provide a non-judgmental counseling response to a person struggling with drug use.,I feel ashamed because I promised myself I would stop.,It sounds like you are carrying a lot of shame. You deserve support rather than judgment. What would be one compassionate and realistic step you could take toward recovery today? There is no need to judge yourself while we explore what happened. Understanding the pattern can help you make a different choice.,synthetic drug-recovery counseling augmentation,drug-use recovery counseling - shame
565,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,-I was just planning on telling them that I don't really want to drink anymore. That wasn't me.,-to stop drinking.,AnnoMI-derived authentic counseling turn,substance-use counseling
566,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"So, I'm like normal.",Mm-hmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
567,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"No, but I got grounded for two weeks after that. [chuckles]",Mm-hmm. Have you told your mother that you drink with your friends?,AnnoMI-derived authentic counseling turn,substance-use counseling
568,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, okay. Uh, well, I guess I drink like a glass of wine at supper every night, and just to, you know, relax a little with my friends if I go out. So wine has always been a kind of a family tradition with supper. So-",Okay. So what about maybe sharing a little bit about your alcohol intake and maybe a little bit about what your- what your life's like a little bit for me today?,AnnoMI-derived authentic counseling turn,substance-use counseling
569,Respond as a supportive addiction counselor using motivational interviewing.,I feel ashamed because I promised myself I would stop.,It sounds like you are carrying a lot of shame. You deserve support rather than judgment. What would be one compassionate and realistic step you could take toward recovery today? There is no need to judge yourself while we explore what happened. Understanding the pattern can help you make a different choice.,synthetic drug-recovery counseling augmentation,drug-use recovery counseling - shame
570,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah, sure.",I could see you again in a month. Would that work out for you?,AnnoMI-derived authentic counseling turn,substance-use counseling
571,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Sure.,Would you like to answer some questions and kind of do a self-evaluation about how you're feeling around alcohol and the contraception?,AnnoMI-derived authentic counseling turn,substance-use counseling
572,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Well, it was raining. I didn't want my science fair project to get wet. I knew my parents were—","So, what you told me earlier was that you've got into a car with someone you knew had smoked marijuana earlier. What were you thinking?",AnnoMI-derived authentic counseling turn,substance-use counseling
573,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yes, that’s fine with me.",That's great. So should we meet up at the same time next week then?,AnnoMI-derived authentic counseling turn,substance-use counseling
574,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Okay.,"Okay. Well thanks for listening, and honestly, I- I am really worried about the smoking, so--",AnnoMI-derived authentic counseling turn,substance-use counseling
575,"Give a brief, empathetic counseling response focused on recovery and safety.",I am worried that I will never be able to stay in recovery.,"It sounds like you are worried about your ability to maintain recovery. What is one time when you managed a difficult situation without using, and what helped you then? You do not have to figure everything out at once. We can focus on one manageable step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - confidence
576,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Right, I mean, I don't drink that much and, honestly, it-it's just a good way to relax.","So, you've decided you wanna cut back on your smoking a little bit, but, you're not really concerned about your drinking.",AnnoMI-derived authentic counseling turn,substance-use counseling
577,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yes.,-birth control issue and this importance comes down as your reason why you're not down here.,AnnoMI-derived authentic counseling turn,substance-use counseling
578,Provide a non-judgmental counseling response to a person struggling with drug use.,I use drugs when I feel stressed and overwhelmed.,"You have noticed a connection between stress and drug use, which is useful information. What are some safer ways you have handled stress in the past, even if they only helped a little? There is no need to judge yourself while we explore what happened. Understanding the pattern can help you make a different choice.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - stress trigger
579,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Mm-hmm. I-I don't know what I'm going to do about it.,"All right. So it sounds like you've been smoking for such a long time and then this diagnosis was given to you, uh, and now that's really causing you to be afraid and frightened.",AnnoMI-derived authentic counseling turn,substance-use counseling
580,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah, just a sense of like fitting in and not-- And like getting accepted-","-having people who are good friends, too, is important. And then, what about belonging? You mentioned that one too.",AnnoMI-derived authentic counseling turn,substance-use counseling
581,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Are you serious?,"Mm-hmm. Okay. So let me just show you on this, um, card here, um, from a medical perspective, we know that there's good evidence that shows that women you're age who drink more than, um, three drinks on any one occasion at any- at any sitting or more than seven in a week, are likely to run into health problems from their drinking, either problems they're having right now or maybe in the future.",AnnoMI-derived authentic counseling turn,substance-use counseling
582,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"-and a couple of my other friends have tried to call me as well, and I haven't answered the phone. Um, so it's been good for me to just reach out and like, meet a couple of new people, um, in the neigh-neighborhood that I'm living in.",Okay.,AnnoMI-derived authentic counseling turn,substance-use counseling
583,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Prostate cancer, that didn't do it.",Mm-hmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
584,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"-sounds shocking. But to me it-it's- it doesn't feel that way, you know, that's kind of where that, where it kind of doesn't sit right. I, [clears throat] that's why I kind of got a bit miffed at my friends a little bit, or I dunno, a bit defensive there. 'Cause you know, it sounds a lot, but it doesn't feel out of control or anything, you know. It doesn't feel, I dunno, people that need to go and see therapists or whatever you kind of go, ""Oh, they're an addict."" You know. They-- Their health is really bad and they need urgent help right now quickly, Uh, well, at least that's kind of the-the feeling you get. And I don't feel that at all. I don't feel like it's a real urgent thing. So that-",Mm.,AnnoMI-derived authentic counseling turn,substance-use counseling
585,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Uh-,Yeah.,AnnoMI-derived authentic counseling turn,substance-use counseling
586,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"That means a new wardrobe, which I'd like to have, but I can't afford it.",Mm-hmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
587,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Gonna get that again.,Possibly-,AnnoMI-derived authentic counseling turn,substance-use counseling
588,"Give a brief, empathetic counseling response focused on recovery and safety.","My family keeps telling me to get help, but I do not know where to start.",Reaching out can be a strong first step. Would you be open to talking with a qualified addiction counselor or healthcare professional about support options that fit your situation?,synthetic drug-recovery counseling augmentation,drug-use recovery counseling - professional help
589,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah.,"Yeah, the fact that your drinking stands out from others is clearly not something you had ever really taken into consideration before?",AnnoMI-derived authentic counseling turn,substance-use counseling
590,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yes.,And there's some things that you might be able to do that would make it easier to not use methamphetamine including talking to your sister and getting some support.,AnnoMI-derived authentic counseling turn,substance-use counseling
591,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah.,You want this baby.,AnnoMI-derived authentic counseling turn,substance-use counseling
592,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Uh, yeah, yeah. It's fine. Let's do that.",Okay. I'd like to hear how your plan worked out for you if you're willing to come back for another appointment. I look forward to hearing about what worked for you and what was challenging say in four weeks.,AnnoMI-derived authentic counseling turn,substance-use counseling
593,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Jeez, no. I didn't think I was that bad.","Mm-hmm. Well, I just wanted to just show you this little chart here. For your age as a male, you're drinking more than those at a low-risk level. Um, the low-risk level for men under 65 is no more than 14 drinks a week and no more than four a day. And, in this case, a drink is considered 12 ounces of beer, 5 ounces of wine, or an ounce and a half of distilled spirits. And you're right, you're not drinking as much as some people out there. The way you answered our questions here, you're actually falling in the high-risk category, the risky or hazardous category, category two.",AnnoMI-derived authentic counseling turn,substance-use counseling
594,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah.,"Okay. So, that really sounds like something we can do.",AnnoMI-derived authentic counseling turn,substance-use counseling
595,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"I don't know what to do. I've tried to quit smoking. I've had, uh, I've taken pills, I've taken the patch.","Okay. So what I'm hearing you say is that, although you want to quit smoking in the next six months, you're feeling a bit, um, under-confident that you'll actually be able to do this and you're-you're worried about failing.",AnnoMI-derived authentic counseling turn,substance-use counseling
596,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"And, um, you know, sometimes they're those- those, uh, nice young men that gift you different sorts of things. And we got some of those mini cigars that are Swisher sweets, they come in peach and-and grape and-and, you know, that's the only time that really, you know, I've ever really used anything that-that's got tobacco in it.",Mm-hmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
597,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, it's really stupid. Uh, I was at a pub crawl last night and you know how pub crawls are. You have a few drinks and then I thought it was a really good idea to catch up with my friends who are, yeah, they're in front of me. So I just like jumped off the stairs of the bus and I was wearing these like stilettos 'cause it was a 90s-themed pub crawl. Anyway, and then I just like fell on my ankle. It was really embarrassing.",So I know we've determined that you sprained your ankle yesterday and I'm wondering if you can tell me a little bit about how that happened?,AnnoMI-derived authentic counseling turn,substance-use counseling
598,Provide a non-judgmental counseling response to a person struggling with drug use.,"My family keeps telling me to get help, but I do not know where to start.",Reaching out can be a strong first step. Would you be open to talking with a qualified addiction counselor or healthcare professional about support options that fit your situation? You do not have to figure everything out at once. We can focus on one manageable step.,synthetic drug-recovery counseling augmentation,drug-use recovery counseling - professional help
599,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,It kind of puts a downer on my- on my fun.,Okay.,AnnoMI-derived authentic counseling turn,substance-use counseling
600,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"So, that would be one.",Mm-hmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
601,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Okay.,And do you mind if we talk about a screening form that you filled out earlier today on drug use?,AnnoMI-derived authentic counseling turn,substance-use counseling
602,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"I have, um, you know, I have two-two separate groups. I have my friends from class and then my friends from bra-- from band.",-friends outside of band or?,AnnoMI-derived authentic counseling turn,substance-use counseling
603,Provide a non-judgmental counseling response to a person struggling with drug use.,I am worried that I will never be able to stay in recovery.,"It sounds like you are worried about your ability to maintain recovery. What is one time when you managed a difficult situation without using, and what helped you then?",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - confidence
604,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Mm-hmm.,"Okay. Um, so gosh, you're-you're actually really drinking quite a lot. Um, you know, your level of drinking puts you in what we call a high-risk group.",AnnoMI-derived authentic counseling turn,substance-use counseling
605,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"They say it's awful. Um, being cranky.",Mm.,AnnoMI-derived authentic counseling turn,substance-use counseling
606,Respond as a supportive addiction counselor using motivational interviewing.,I do not think my drug use is as serious as my family thinks.,"It sounds like you and your family see the situation differently. Rather than judging you, I would like to understand your view. What concerns, if any, do you have about your drug use? You do not have to figure everything out at once. We can focus on one manageable step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - readiness
607,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Well, I know, like, they say not to, but I thought because my friends didn't really care, I thought, ""Okay. Like maybe-maybe it doesn't matter. Maybe it's just what they tell you."" Just like drinking, in general, is bad.","Okay. So, you've got a lot of concerns about what's happened to- up until this point, as far as your drinking. What do you know about, um, drinking alcohol throughout pregnancy?",AnnoMI-derived authentic counseling turn,substance-use counseling
608,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,But I haven't really thought about possible alcoholism or anything.,Uh-huh.,AnnoMI-derived authentic counseling turn,substance-use counseling
609,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah, I've thought about it. I'm just-- It's not my cup-- I-I-I hear it from everybody, and, uh, I've tried- I've tried before, didn't work. I get it all the time.",Any thoughts on considering quitting smoking at this time?,AnnoMI-derived authentic counseling turn,substance-use counseling
610,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,-or I don't feel like I need to,Sure.,AnnoMI-derived authentic counseling turn,substance-use counseling
611,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Well, you know, I was thinking along the lines of meditation. Um, you know, I- I do practice yoga, um, not consistently, but on and off. Um, and when I was in the hospital, I had to do that breathing apparatus and they didn't want to let me go now, like, you know- you know what, I'm not doing that it's already blurry then to this thing, to see the level, um, some pretty obstinate about it and yet I want to do it, you know?",It doesn't matter. So what- what ideas do you have about what might be most helpful for you in quitting smoking?,AnnoMI-derived authentic counseling turn,substance-use counseling
612,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"So, uh, are you saying I drink too much?","Okay. Well, the reason why I like to talk to patients when they fill out this form is because sometimes, uh, alcohol use can impact our health. Um, and my role is to be helpful. I can share some information with you about alcohol use, um, but I don't tell anyone what to do. It's always up to the patient to decide what they wanna do about their drinking. Um, so is it okay if we talk a little bit more about your alcohol use?",AnnoMI-derived authentic counseling turn,substance-use counseling
613,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"-and we usually sleep over each other's house, we don't get into the problems of drinking and driving, and possibly sexual assaults and things like that.",Uh-huh.,AnnoMI-derived authentic counseling turn,substance-use counseling
614,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah.,"-the thing that helps you just unwind, put an end to the work section and move into your own time.",AnnoMI-derived authentic counseling turn,substance-use counseling
615,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"I did a peppermint oil once, someone shared it with me.",Do you vape anything else besides marijuana?,AnnoMI-derived authentic counseling turn,substance-use counseling
616,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"And I'm still gonna try that when I get the urge to let it go, fight it, and maybe not go out for a cigarette until the next urge comes.",Right.,AnnoMI-derived authentic counseling turn,substance-use counseling
617,"Give a brief, empathetic counseling response focused on recovery and safety.",I use drugs when I feel stressed and overwhelmed.,"You have noticed a connection between stress and drug use, which is useful information. What are some safer ways you have handled stress in the past, even if they only helped a little? If you are comfortable, we can explore what matters most to you and identify a practical next step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - stress trigger
618,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"But after that, I haven't- but I do have friends that still do sometimes, so I'll end up like having to take care of them or something and-",Mm-hmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
619,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"You know, I always love, um, I've been in other group therapies-",Yeah. Is it appealing the thought of quitting with a group at the same time?,AnnoMI-derived authentic counseling turn,substance-use counseling
620,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, that was about two to three years ago.",Want the good [crosstalk] no good right? And how long ago was that that you—,AnnoMI-derived authentic counseling turn,substance-use counseling
621,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,It is. It really is. It's a monkey on my back,It is becoming a pain in the butt,AnnoMI-derived authentic counseling turn,substance-use counseling
622,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Well, [coughs] I must say I was a bit, um, you know, at the start when I was sort of saying I, you know, this is how often I do it and then I found myself talking about the kind of the weekday stuff I kinda took myself back a bit there. I suppose, you know, on a Wednesday by yourself like it doesn't sound that good.",What could be a- what could be a first step towards that?,AnnoMI-derived authentic counseling turn,substance-use counseling
623,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"-at present, but when the doctor told me this morning what could be waiting for me in the future-",Mm-hmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
624,Act as a recovery-support counselor and encourage reflection and a realistic next step.,"I want to make healthier choices, but I feel stuck.",Feeling stuck can make change seem overwhelming. What is one small change that feels realistic this week and could move you a little closer to the life you want? You do not have to figure everything out at once. We can focus on one manageable step.,synthetic drug-recovery counseling augmentation,drug-use recovery counseling - small steps
625,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,And agitation really-,"Okay. So, um, but you gave it a good try and it was just not a good fit for you like you-you really listened to what your body told you like nightmares, nausea, I mean those are really bad things.",AnnoMI-derived authentic counseling turn,substance-use counseling
626,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,All right.,Okay. That sounds good.,AnnoMI-derived authentic counseling turn,substance-use counseling
627,Use motivational interviewing principles to respond to this substance-use concern.,Part of me wants recovery and another part of me still wants to use.,"It is possible to have mixed feelings about recovery. What are the strongest reasons you want to stop, and what do you feel you would be giving up by stopping? If you are comfortable, we can explore what matters most to you and identify a practical next step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - mixed feelings
628,Respond as a supportive addiction counselor using motivational interviewing.,I have been using drugs again and I feel like I am losing control.,Thank you for being honest about that. It sounds like the drug use is feeling increasingly difficult to control. What would you most like to change about your situation right now?,synthetic drug-recovery counseling augmentation,drug-use recovery counseling - loss of control
629,Use motivational interviewing principles to respond to this substance-use concern.,I have been avoiding people because I am embarrassed about my drug use.,"It sounds like embarrassment has been pushing you away from others. Is there one trusted person you would feel comfortable talking to, even if you are not ready to tell them everything? Your willingness to talk about this is already a meaningful step. We can work through it gradually.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - isolation
630,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Okay.,"That's great. And I hope you continue to avoid those things. As your doctor, I want you to know that I'm concerned about your drinking. When teens drink, things can go wrong, like injuring yourself. Even when you don't drink too excess, though, your brain is still developing and is very sensitive to the effects of alcohol.",AnnoMI-derived authentic counseling turn,substance-use counseling
631,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,It's just there.,"Uh-huh. So, it's kind of something that you're—",AnnoMI-derived authentic counseling turn,substance-use counseling
632,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah, absolutely.","Um, well the good news is that the exam's over and I don't think Jake has pneumonia. What I actually think he has is a cold. So there are some things you could do to manage his symptoms. Would you be interested in knowing?",AnnoMI-derived authentic counseling turn,substance-use counseling
633,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Well, I can get suspended and I would get kicked off the team, the basketball team.",How could you get in trouble at school?,AnnoMI-derived authentic counseling turn,substance-use counseling
634,"Give a brief, empathetic counseling response focused on recovery and safety.",I had a difficult day and immediately thought about using.,"It sounds like a difficult day quickly triggered the urge to use. What happened today, and what might help you respond differently if a similar situation happens again? Your willingness to talk about this is already a meaningful step. We can work through it gradually.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - trigger awareness
635,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, and I met a couple new friends.",Good.,AnnoMI-derived authentic counseling turn,substance-use counseling
636,Use motivational interviewing principles to respond to this substance-use concern.,"My friends use drugs, and it makes staying sober difficult.","That environment can make recovery harder. Which people or places feel safer for you, and how might you create more distance from situations that increase the urge to use? There is no need to judge yourself while we explore what happened. Understanding the pattern can help you make a different choice.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - social environment
637,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah.,"Mm-hmm. It's harder when you're trying to create your career, get that going. You gotta- you gotta be at your- at your top, top pitch.",AnnoMI-derived authentic counseling turn,substance-use counseling
638,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, I forget how many drinks I've had like when a friend asks me or I forget whose house I'm at.",What kind of things do you forget?,AnnoMI-derived authentic counseling turn,substance-use counseling
639,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"-and I found it was okay. It got a little bit scary on the weekend because, uh, uh, the urge has kept on coming-",Mm.,AnnoMI-derived authentic counseling turn,substance-use counseling
640,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Sure.,-and you answered some questions about your marijuana use. Would it be okay if I asked you some questions about how marijuana plays a role in your life?,AnnoMI-derived authentic counseling turn,substance-use counseling
641,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Okay, yeah.","Oh, that's a great question. So, a lot of times, kids who are trying to cut back, it's harder if their friends are still drinking, and one of the easiest things is trying to have more activities that don't involve alcohol, but-",AnnoMI-derived authentic counseling turn,substance-use counseling
642,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, due to just circumstance of, I mean, I just yeah, had my boyfriend for six years before that and-","Oh, this is the first time anything like this has come up?",AnnoMI-derived authentic counseling turn,substance-use counseling
643,"Give a brief, empathetic counseling response focused on recovery and safety.",I use drugs when I feel stressed and overwhelmed.,"You have noticed a connection between stress and drug use, which is useful information. What are some safer ways you have handled stress in the past, even if they only helped a little? You do not have to figure everything out at once. We can focus on one manageable step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - stress trigger
644,Act as a recovery-support counselor and encourage reflection and a realistic next step.,I am worried about going back to my old environment after treatment.,"Returning to a familiar environment can bring strong reminders and triggers. What people, places, or routines might make recovery harder, and what support could you arrange before returning? There is no need to judge yourself while we explore what happened. Understanding the pattern can help you make a different choice.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - aftercare
645,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"I mean, I smoke a little less than a pack a day. It's not too bad. Um, I've probably smoked for the last five years, but I-I-I mean, could quit if I wanted to, but I don't really want to right now.",Okay. Tell me a little bit about how smoking fits in your day. It'll help with the—,AnnoMI-derived authentic counseling turn,substance-use counseling
646,Provide a non-judgmental counseling response to a person struggling with drug use.,I have been avoiding people because I am embarrassed about my drug use.,"It sounds like embarrassment has been pushing you away from others. Is there one trusted person you would feel comfortable talking to, even if you are not ready to tell them everything? If you are comfortable, we can explore what matters most to you and identify a practical next step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - isolation
647,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah. And I'm just- you know, you can't just one day flick a switch and become a new person.","While this baby's growing in you and you think of all the opportunities that could come out of this, there's a part of you that says, ""I'm still that same girl that was drinking and partying,"" and-and maybe not living the life you wanted to live.",AnnoMI-derived authentic counseling turn,substance-use counseling
648,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Uh, they're pretty good, you know, high three-point somethings.",All right. And how about your grades?,AnnoMI-derived authentic counseling turn,substance-use counseling
649,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"I don't know. I-I think about it now, I don't even know how I did it. I just- I just did it. You know, I just- I just couldn't imagine like him not being born or going into labor early-",How were you successful when you quit before?,AnnoMI-derived authentic counseling turn,substance-use counseling
650,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, no, no. I think I'm good.","-and you're still not drinking and not hanging out with any people who are drinking. Um, is there anything else you'd like to talk about while you're here?",AnnoMI-derived authentic counseling turn,substance-use counseling
651,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,I can play basketball with my friend Sarah.,Anything else?,AnnoMI-derived authentic counseling turn,substance-use counseling
652,Act as a recovery-support counselor and encourage reflection and a realistic next step.,I use drugs when I feel stressed and overwhelmed.,"You have noticed a connection between stress and drug use, which is useful information. What are some safer ways you have handled stress in the past, even if they only helped a little? You do not have to figure everything out at once. We can focus on one manageable step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - stress trigger
653,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah. Sure.,"Okay. So you-- that's cutting back quite a bit. That's a big step. So since we're kind of running out of time here today, I'm wondering if we could-- would be willing to come back in about four weeks to review this plan?",AnnoMI-derived authentic counseling turn,substance-use counseling
654,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,This is not what I want for my life.,This is not what you've envisioned.,AnnoMI-derived authentic counseling turn,substance-use counseling
655,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah, yeah, yeah, yeah, [unintelligible 00:01:13] hmm.","Okay. And it's like here I am one more person, the next- the next doctor who's saying, ""You need to quit smoking, David.""",AnnoMI-derived authentic counseling turn,substance-use counseling
656,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,-hang out and have a good time.,Yeah.,AnnoMI-derived authentic counseling turn,substance-use counseling
657,Act as a recovery-support counselor and encourage reflection and a realistic next step.,"I am trying to change, but I do not know what triggers my drug use.","We can explore that together without judgment. Think about the moments before you usually use: where are you, who are you with, and what emotions or thoughts are present? There is no need to judge yourself while we explore what happened. Understanding the pattern can help you make a different choice.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - trigger identification
